City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Yangambi,CD,78.22,light rain,0.81,24.43,
340,Mareeba,AU,77.0,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
343,Machinga,MW,85.8,broken clouds,-15.17,35.3,
345,Benguela,AO,80.91,overcast clouds,-12.58,13.41,Hotel Praia Morena
347,San Vicente,AR,89.42,moderate rain,-26.62,-54.13,Complejo Turístico Farelluk
349,Bubaque,GW,81.0,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
350,Concordia,AR,75.2,scattered clouds,-31.39,-58.02,Palmar Hotel Casino
353,Kuching,MY,75.2,scattered clouds,1.55,110.33,Hilton Kuching
364,Tshikapa,CD,81.03,moderate rain,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
370,Buenos Aires,AR,86.0,few clouds,-34.61,-58.38,Gran Hotel Argentino
371,Bambous Virieux,MU,78.8,scattered clouds,-20.34,57.76,Casa Tia Villa
372,Kilimatinde,TZ,83.95,light rain,-5.85,34.95,
377,Manokwari,ID,78.91,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
380,Ambilobe,MG,79.57,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
381,Pontianak,ID,76.41,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
385,Quatre Cocos,MU,78.8,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
386,Axim,GH,82.76,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
392,Kununurra,AU,84.2,broken clouds,-15.77,128.73,Hotel Kununurra
393,Kudahuvadhoo,MV,82.71,few clouds,2.67,72.89,Kudahuvadhoo Retreat
398,Savannah Bight,HN,82.99,few clouds,16.45,-85.85,Villa on Dunbar Rock
401,Lorengau,PG,82.85,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
403,Karratha,AU,77.72,light rain,-20.74,116.85,ibis Styles Karratha
410,Bandarbeyla,SO,77.81,light rain,9.49,50.81,JABIR HOTEL
412,Lufilufi,WS,77.0,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
414,Paracatu,BR,80.35,scattered clouds,-17.22,-46.87,Hotel Paracatu Plaza
416,Ugoofaaru,MV,83.03,broken clouds,5.67,73.0,Ungoofaaru Inn
424,Ciudad Bolivar,VE,87.39,scattered clouds,8.12,-63.55,Hotel Edi
427,Sinnamary,GF,85.33,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
429,Salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
441,Bukama,CD,84.54,light rain,-9.2,25.85,
445,Patnongon,PH,78.75,clear sky,10.91,121.99,La Veneranda Guest House
447,Saquena,PE,85.46,light rain,-4.67,-73.52,
450,Adre,TD,87.28,clear sky,13.47,22.2,
453,Moerai,PF,77.47,scattered clouds,-22.43,-151.33,Le Manotel
464,Merauke,ID,80.47,light rain,-8.47,140.33,
466,Tautira,PF,78.8,broken clouds,-17.73,-149.15,Pension Oaoa
472,Grand Gaube,MU,77.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
486,Nhulunbuy,AU,82.4,overcast clouds,-12.23,136.77,East Arnhem Real Estate
492,Canto Do Buriti,BR,89.98,broken clouds,-8.11,-42.94,Novo Hotel
494,Acapulco,MX,75.2,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
505,Mokolo,CM,84.72,overcast clouds,10.74,13.8,Diwa Hôtel
507,Bilma,NE,87.89,clear sky,18.69,12.92,Expeditions Ténére voyages
514,Manzanillo,CU,78.1,clear sky,20.34,-77.12,Adrian & Tonia
517,Freetown,SL,81.68,light rain,8.48,-13.23,The Country Lodge Hotel
524,Tuburan,PH,81.82,light rain,6.64,122.27,GT Site
526,Upata,VE,82.99,scattered clouds,8.01,-62.4,Posada Villa Nela
534,Bumba,CD,80.29,light rain,2.18,22.47,Hôtel Cape Town
542,Waingapu,ID,82.71,broken clouds,-9.66,120.26,Pondok Wisata Elim
543,Allanridge,ZA,84.99,clear sky,-27.75,26.64,The Hatchery
546,Conceicao Da Barra,BR,81.86,clear sky,-18.59,-39.73,Cricaré Praia Hotel
548,Acarau,BR,89.91,broken clouds,-2.89,-40.12,castelo pizzaria
551,Cairns,AU,77.0,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
553,Padang,ID,78.08,clear sky,-0.95,100.35,Mercure Padang
555,Kinablangan,PH,78.44,light rain,7.69,126.55,Danny Moreno Property
559,Amapa,BR,84.43,light rain,1.0,-52.0,
561,Macenta,GN,88.63,broken clouds,8.54,-9.47,Hôtel Safrik
567,Palmerston,AU,84.2,few clouds,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
568,Iguape,BR,85.3,clear sky,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
570,Balinsasayao,PH,76.5,light rain,10.68,124.96,Castanas Spring Resort
572,Santa Maria,BR,82.4,few clouds,-29.68,-53.81,Hotel Morotin
573,Praia,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
575,Banda Aceh,ID,78.01,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
576,Dingle,PH,75.81,light rain,11.0,122.67,SEGAYA PROPERTY
578,Nouadhibou,MR,77.0,few clouds,20.93,-17.03,El Medina
579,Oistins,BB,86.0,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
580,Phuket,TH,84.99,few clouds,8.0,98.25,The Surin Phuket
581,Najran,SA,78.8,broken clouds,17.49,44.13,محمد هادي ال فطيح
590,Aquiraz,BR,89.6,few clouds,-3.9,-38.39,Hotel Laguna Blu
595,Cimitarra,CO,85.35,scattered clouds,6.31,-73.95,HOTEL CARARE PLAZA
600,Tarrafal,CV,78.8,broken clouds,15.28,-23.77,Hotel Ixola
609,Vila Velha,BR,84.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
611,Baoro,CF,89.73,few clouds,5.67,15.97,
614,Diffa,NE,88.88,scattered clouds,13.32,12.61,ProDAF/Diffa
617,Kimberley,ZA,89.6,clear sky,-28.73,24.76,Welgewandel Guesthouse
620,Bachaquero,VE,82.38,light rain,9.97,-71.15,casa de los dinosaurios
623,Curaca,BR,89.65,few clouds,-8.99,-39.91,Curaca
624,Pandan,PH,80.37,light rain,14.05,124.17,Bonifacio Lodge
630,Eydhafushi,MV,83.12,broken clouds,5.1,73.07,Soneva Fushi
631,Yanam,IN,80.6,light rain,16.73,82.22,The Regency Hotel
632,Camopi,GF,82.44,moderate rain,3.17,-52.32,
633,Nha Trang,VN,77.0,heavy intensity rain,12.25,109.18,Hanoi Golden Hotel
639,Tutoia,BR,85.89,broken clouds,-2.76,-42.27,Pousada Guará's
642,Porto Walter,BR,89.92,broken clouds,-8.27,-72.74,Hotel Silva
649,Buluang,PH,76.82,few clouds,13.31,123.34,Enon Beach Resort
650,Sao Sebastiao,BR,85.01,clear sky,-23.76,-45.41,Hotel Recanto dos Pássaros
653,Poum,NC,75.72,clear sky,-20.23,164.02,Gîte kajeon
654,Itaituba,BR,84.2,broken clouds,-4.28,-55.98,Hotel Campos
664,Vanimo,PG,79.03,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
