City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Hithadhoo,MV,2020-11-28 18:15:06,-0.6,73.08,81.88,76,76,8.3
70,Beidaud,RO,2020-11-28 18:15:06,44.72,28.57,32.0,73,90,1.12
71,Santiago Del Estero,AR,2020-11-28 18:15:07,-27.8,-64.26,98.01,40,67,5.99
72,New Norfolk,AU,2020-11-28 18:15:07,-42.78,147.06,57.99,71,100,3.49
73,Touros,BR,2020-11-28 18:15:08,-5.2,-35.46,86.0,58,40,16.11
74,Saldanha,ZA,2020-11-28 18:15:08,-33.01,17.94,66.2,59,0,20.8
75,Mount Gambier,AU,2020-11-28 18:15:08,-37.83,140.77,53.6,93,90,14.99
76,Kapaa,US,2020-11-28 18:14:45,22.08,-159.32,69.8,64,20,8.05
77,Chuy,UY,2020-11-28 18:15:08,-33.7,-53.46,77.45,74,99,12.62
78,Lorengau,PG,2020-11-28 18:15:08,-2.02,147.27,82.08,80,81,8.68
79,Grottammare,IT,2020-11-28 18:15:09,42.99,13.86,48.0,87,100,4.99
80,Namibe,AO,2020-11-28 18:13:06,-15.2,12.15,73.56,77,45,8.77
81,Lima,PE,2020-11-28 18:12:38,-12.04,-77.03,73.99,68,20,10.29
82,Mar Del Plata,AR,2020-11-28 18:15:10,-38.0,-57.56,86.0,48,90,14.99
83,Virginia Beach,US,2020-11-28 18:12:39,36.85,-75.98,61.0,72,87,3.0
84,Norman Wells,CA,2020-11-28 18:15:10,65.28,-126.83,-20.2,75,40,2.73
85,Port Elizabeth,ZA,2020-11-28 18:13:20,-33.92,25.57,64.4,93,90,4.7
86,Karratha,AU,2020-11-28 18:10:16,-20.74,116.85,78.15,73,0,8.21
87,Lebu,CL,2020-11-28 18:14:52,-37.62,-73.65,60.48,79,96,9.06
88,Burnie,AU,2020-11-28 18:15:10,-41.07,145.92,53.01,98,100,8.99
89,Qaqortoq,GL,2020-11-28 18:15:11,60.72,-46.03,33.8,80,75,12.75
90,Roura,GF,2020-11-28 18:15:11,4.73,-52.33,78.8,88,0,2.24
91,Kaitangata,NZ,2020-11-28 18:15:11,-46.28,169.85,54.0,79,71,10.0
92,Ancud,CL,2020-11-28 18:14:54,-41.87,-73.82,51.8,71,20,10.29
93,Moose Factory,CA,2020-11-28 18:15:11,51.26,-80.61,30.2,80,90,14.99
94,Bonthe,SL,2020-11-28 18:15:11,7.53,-12.51,81.41,78,54,6.02
95,Goure,NE,2020-11-28 18:15:11,13.98,10.27,81.0,21,0,1.99
96,Geraldton,AU,2020-11-28 18:15:12,-28.77,114.6,59.0,72,89,11.41
97,Grindavik,IS,2020-11-28 18:15:12,63.84,-22.43,33.8,77,90,13.87
98,Yulara,AU,2020-11-28 18:15:12,-25.24,130.99,86.0,33,3,13.87
99,Las Palmas,ES,2020-11-28 18:15:12,28.42,-14.01,69.8,64,20,13.87
100,Codrington,AU,2020-11-28 18:15:12,-38.27,141.97,55.15,90,100,20.2
101,Tiksi,RU,2020-11-28 18:14:50,71.69,128.87,-1.7,91,53,9.1
102,Katsuura,JP,2020-11-28 18:15:13,35.13,140.3,51.01,57,75,11.41
103,Kavieng,PG,2020-11-28 18:15:13,-2.57,150.8,82.76,82,98,13.76
104,Panalingaan,PH,2020-11-28 18:15:13,8.78,117.42,78.78,81,99,1.52
105,Jadu,LY,2020-11-28 18:15:13,31.95,12.03,57.74,37,0,13.0
106,Tandil,AR,2020-11-28 18:15:13,-37.32,-59.13,80.01,58,100,3.0
107,Sioux Lookout,CA,2020-11-28 18:10:42,50.1,-91.92,32.0,95,40,6.93
108,Sibi,PK,2020-11-28 18:15:13,29.54,67.88,56.39,39,1,1.36
109,Hofn,IS,2020-11-28 18:15:14,64.25,-15.21,39.09,74,100,16.04
110,Sitka,US,2020-11-28 18:15:14,57.05,-135.33,41.0,75,90,26.4
111,Nishihara,JP,2020-11-28 18:15:14,26.18,127.76,68.0,60,75,12.75
112,Longyearbyen,SJ,2020-11-28 18:15:14,78.22,15.64,24.8,73,90,29.97
113,Jalu,LY,2020-11-28 18:15:14,29.03,21.55,62.26,48,33,10.85
114,Hilo,US,2020-11-28 18:14:44,19.73,-155.09,69.8,68,20,3.36
115,Arraial Do Cabo,BR,2020-11-28 18:15:14,-22.97,-42.03,84.2,74,0,17.22
116,Tual,ID,2020-11-28 18:15:14,-5.67,132.75,84.0,69,75,7.07
117,Cape Town,ZA,2020-11-28 18:12:26,-33.93,18.42,66.0,82,20,21.92
118,Ribeira Grande,PT,2020-11-28 18:14:36,38.52,-28.7,57.2,67,40,5.82
119,Campo Largo,BR,2020-11-28 18:15:15,-25.46,-49.53,79.0,50,0,8.05
120,Bredasdorp,ZA,2020-11-28 18:15:15,-34.53,20.04,62.6,67,41,5.82
121,Wad Rawah,SD,2020-11-28 18:15:15,15.16,33.14,72.57,19,2,12.1
122,Olafsvik,IS,2020-11-28 18:15:15,64.89,-23.71,36.05,84,100,12.48
123,Yerbogachen,RU,2020-11-28 18:15:15,61.28,108.01,-12.84,89,65,3.96
124,Dickinson,US,2020-11-28 18:12:57,29.46,-95.05,66.2,88,90,8.05
125,Necochea,AR,2020-11-28 18:15:15,-38.55,-58.74,83.26,43,86,13.4
126,Aljezur,PT,2020-11-28 18:13:24,37.32,-8.8,59.23,81,100,12.37
127,Marshall,US,2020-11-28 18:15:15,34.38,-86.33,57.99,58,1,8.05
128,Saskylakh,RU,2020-11-28 18:15:16,71.92,114.08,11.28,93,82,13.76
129,Bethel,US,2020-11-28 18:15:16,41.37,-73.41,52.0,53,40,10.29
130,Port Blair,IN,2020-11-28 18:15:16,11.67,92.75,80.78,79,99,14.41
131,Faya,SA,2020-11-28 18:15:16,18.39,42.45,60.8,87,0,3.87
132,Dunmore East,IE,2020-11-28 18:15:16,52.15,-6.99,50.0,93,90,3.36
133,Port Hardy,CA,2020-11-28 18:15:17,50.7,-127.42,44.6,81,40,6.93
134,Marystown,CA,2020-11-28 18:15:17,47.17,-55.15,48.63,92,100,7.07
135,Kitimat,CA,2020-11-28 18:15:17,54.05,-128.65,34.0,95,98,3.22
136,Las Cruces,US,2020-11-28 18:13:19,32.31,-106.78,51.01,45,1,12.75
137,Lata,PT,2020-11-28 18:15:17,40.16,-8.33,55.0,83,96,3.0
138,Narsaq,GL,2020-11-28 18:15:17,60.92,-46.05,33.8,80,75,12.75
139,East London,ZA,2020-11-28 18:15:18,-33.02,27.91,66.2,93,75,17.22
140,Teahupoo,PF,2020-11-28 18:15:18,-17.83,-149.27,82.4,78,75,5.82
141,Ahuimanu,US,2020-11-28 18:13:43,21.44,-157.84,78.8,69,20,18.34
142,Carnarvon,AU,2020-11-28 18:15:19,-24.87,113.63,69.8,83,45,18.34
143,Esperance,AU,2020-11-28 18:14:41,-33.87,121.9,50.0,81,4,5.82
144,Olutanga,PH,2020-11-28 18:15:19,7.31,122.85,82.8,74,91,3.4
145,Chicama,PE,2020-11-28 18:15:19,-7.84,-79.15,68.0,77,20,12.75
146,Kudahuvadhoo,MV,2020-11-28 18:15:20,2.67,72.89,83.08,66,48,5.48
147,Jiujiang,CN,2020-11-28 18:15:20,29.73,115.98,44.19,78,100,10.0
148,Alexandria,EG,2020-11-28 18:10:31,31.22,29.96,64.4,68,40,6.93
149,Chara,RU,2020-11-28 18:15:21,56.91,118.26,-6.81,79,48,0.83
150,Upata,VE,2020-11-28 18:12:42,8.01,-62.4,91.99,60,19,1.01
151,Mosquera,CO,2020-11-28 18:13:43,4.71,-74.23,69.8,43,40,9.17
152,Sinnamary,GF,2020-11-28 18:15:21,5.38,-52.95,84.25,70,21,10.11
153,Khatanga,RU,2020-11-28 18:15:21,71.97,102.5,11.86,96,100,18.37
154,Hasaki,JP,2020-11-28 18:12:32,35.73,140.83,41.0,80,75,2.24
155,Georgetown,MY,2020-11-28 18:15:10,5.41,100.34,77.0,94,20,3.36
156,Pevek,RU,2020-11-28 18:14:55,69.7,170.31,12.27,97,100,2.66
157,Ushumun,RU,2020-11-28 18:15:22,52.78,126.53,7.03,89,100,10.13
158,Zhezkazgan,KZ,2020-11-28 18:15:22,47.8,67.71,12.45,94,6,15.35
159,Kodiak,US,2020-11-28 18:14:37,57.79,-152.41,30.2,92,1,3.6
160,Pinega,RU,2020-11-28 18:15:22,64.7,43.39,17.24,95,2,5.21
161,Dakar,SN,2020-11-28 18:15:21,14.69,-17.44,78.8,57,0,18.34
162,Hambantota,LK,2020-11-28 18:15:23,6.12,81.12,77.99,83,100,3.47
163,Marseille,FR,2020-11-28 18:15:23,43.33,5.5,62.01,51,98,7.0
164,Tautira,PF,2020-11-28 18:15:24,-17.73,-149.15,82.4,78,75,5.82
165,Savannah Bight,HN,2020-11-28 18:15:24,16.45,-85.85,84.2,70,20,5.91
166,Ponta Do Sol,PT,2020-11-28 18:14:50,32.67,-17.1,62.6,48,40,14.99
167,Souillac,MU,2020-11-28 18:15:24,-20.52,57.52,75.2,73,40,6.93
168,Vila Velha,BR,2020-11-28 18:11:10,-20.33,-40.29,80.6,69,40,13.87
169,Saint-Francois,FR,2020-11-28 18:15:25,46.42,3.91,43.0,80,0,2.24
170,Barra Do Garcas,BR,2020-11-28 18:15:25,-15.89,-52.26,98.6,30,40,2.24
171,San Quintin,MX,2020-11-28 18:15:25,30.48,-115.95,65.86,27,32,2.51
172,Nicoya,CR,2020-11-28 18:15:04,10.15,-85.45,87.8,55,20,10.29
173,Chokurdakh,RU,2020-11-28 18:15:26,70.63,147.92,-7.96,92,100,6.51
174,Rognan,NO,2020-11-28 18:15:26,67.1,15.39,42.8,70,75,6.93
175,Klaksvik,FO,2020-11-28 18:15:26,62.23,-6.59,41.0,93,100,1.12
176,Huntingdon,GB,2020-11-28 18:15:27,52.33,-0.19,48.99,90,52,1.99
177,Puerto Ayora,EC,2020-11-28 18:15:27,-0.74,-90.35,77.0,73,75,16.11
178,Plettenberg Bay,ZA,2020-11-28 18:14:09,-34.05,23.37,62.65,86,94,5.55
179,Tecolutla,MX,2020-11-28 18:15:27,20.48,-97.02,80.6,74,75,4.99
180,Dunedin,NZ,2020-11-28 18:15:27,-45.87,170.5,52.0,84,63,1.99
181,Fez,MA,2020-11-28 18:11:39,34.04,-5.0,57.2,62,75,13.87
182,La Ronge,CA,2020-11-28 18:15:27,55.1,-105.28,19.4,79,99,9.17
183,Springbok,ZA,2020-11-28 18:15:27,-29.66,17.89,58.77,54,0,6.87
184,Shingu,JP,2020-11-28 18:15:27,33.73,135.98,43.45,76,0,6.04
185,Oranjemund,NA,2020-11-28 18:15:28,-28.55,16.43,62.19,81,0,20.49
186,Bambous Virieux,MU,2020-11-28 18:15:28,-20.34,57.76,75.2,73,40,6.93
187,Tura,IN,2020-11-28 18:15:02,25.52,90.22,62.15,66,0,4.09
188,Krasnoselkup,RU,2020-11-28 18:15:28,65.7,82.47,-5.01,91,51,8.34
189,Kondinskoye,RU,2020-11-28 18:15:29,59.65,67.41,4.98,95,4,3.91
190,Kuchera,IN,2020-11-28 18:11:08,26.98,73.97,56.71,37,0,5.39
191,Yagodnoye,RU,2020-11-28 18:15:29,62.55,149.67,-0.67,90,100,2.68
192,Maldonado,UY,2020-11-28 18:11:31,-34.67,-54.92,82.99,61,90,17.22
193,Shelburne,CA,2020-11-28 18:15:29,44.08,-80.2,44.6,52,20,10.29
194,Leh,IN,2020-11-28 18:15:29,34.17,77.58,18.28,66,99,1.74
195,Lang Son,VN,2020-11-28 18:15:29,21.83,106.73,52.63,64,5,6.8
196,Puro,PH,2020-11-28 18:15:29,12.48,123.38,79.39,84,91,11.86
197,Simnas,LT,2020-11-28 18:15:30,54.4,23.65,35.6,95,90,8.05
198,Hay River,CA,2020-11-28 18:15:30,60.82,-115.8,1.4,77,7,5.82
199,Vao,NC,2020-11-28 18:15:30,-22.67,167.48,71.92,66,11,12.24
200,Tabuk,PH,2020-11-28 18:15:30,17.42,121.44,71.8,87,100,8.81
201,Ahipara,NZ,2020-11-28 18:15:30,-35.17,173.17,57.85,73,77,7.94
202,Alofi,NU,2020-11-28 18:15:06,-19.06,-169.92,75.2,94,98,4.7
203,Eydhafushi,MV,2020-11-28 18:15:31,5.1,73.07,82.53,64,85,4.85
204,Aranos,NA,2020-11-28 18:15:31,-24.13,19.12,86.16,20,61,7.27
205,Coaraci,BR,2020-11-28 18:15:31,-14.64,-39.55,84.2,70,40,10.29
206,Saint Anthony,US,2020-11-28 18:15:31,45.02,-93.22,46.99,42,1,10.29
207,Husavik,IS,2020-11-28 18:15:31,66.04,-17.34,35.6,59,75,12.75
208,Praia Da Vitoria,PT,2020-11-28 18:15:31,38.73,-27.07,57.2,58,75,27.74
209,Matara,LK,2020-11-28 18:11:25,5.95,80.54,76.75,84,100,3.15
210,Nabire,ID,2020-11-28 18:15:32,-3.37,135.48,76.3,86,97,4.38
211,Paamiut,GL,2020-11-28 18:15:32,61.99,-49.67,32.38,98,100,14.38
212,General Roca,AR,2020-11-28 18:15:32,-39.03,-67.58,84.2,25,0,6.93
213,Colesberg,ZA,2020-11-28 18:15:32,-30.72,25.1,60.93,64,19,31.29
214,Khani,GE,2020-11-28 18:15:32,41.96,42.96,53.6,37,0,25.28
215,Nuuk,GL,2020-11-28 18:11:05,64.18,-51.72,26.6,68,75,2.24
216,Vanino,RU,2020-11-28 18:15:33,49.09,140.25,11.64,80,32,7.9
217,Natal,BR,2020-11-28 18:13:57,-5.79,-35.21,86.0,58,40,24.16
218,Airai,TL,2020-11-28 18:15:33,-8.93,125.41,62.58,100,100,1.03
219,Dimona,IL,2020-11-28 18:15:33,31.07,35.03,56.61,75,3,8.46
220,Agadir,MA,2020-11-28 18:15:33,30.42,-9.6,62.6,72,20,6.93
221,Hampton,US,2020-11-28 18:13:23,37.03,-76.35,62.01,67,90,6.93
222,Daraitan,PH,2020-11-28 18:15:34,14.6,121.43,78.8,88,75,5.82
223,Kulim,MY,2020-11-28 18:15:34,5.37,100.56,77.0,94,20,3.36
224,Erzin,TR,2020-11-28 18:15:34,36.96,36.2,61.0,57,69,5.01
225,Badajoz,ES,2020-11-28 18:15:34,38.67,-6.17,55.0,85,85,5.01
226,Robertson,US,2020-11-28 18:15:34,36.52,-86.87,55.0,61,1,4.7
227,Bow Island,CA,2020-11-28 18:15:34,49.87,-111.37,33.8,69,55,10.29
228,Sabang,ID,2020-11-28 18:15:34,5.89,95.32,79.72,80,100,8.25
229,Tacuarembo,UY,2020-11-28 18:15:35,-31.73,-55.98,81.21,77,54,10.13
230,Nynashamn,SE,2020-11-28 18:15:35,58.9,17.95,37.0,90,92,1.99
231,Bahia Blanca,AR,2020-11-28 18:15:35,-38.72,-62.27,90.77,16,76,9.91
232,Sompeta,IN,2020-11-28 18:15:35,18.93,84.6,73.74,64,20,4.5
233,Kathu,TH,2020-11-28 18:15:35,7.92,98.33,77.0,88,75,3.36
234,Kingsport,US,2020-11-28 18:11:53,36.55,-82.56,62.01,50,20,5.82
235,Oktyabrskiy,RU,2020-11-28 18:15:35,54.48,53.47,20.93,97,100,5.5
236,Itarema,BR,2020-11-28 18:15:10,-2.92,-39.92,85.46,59,69,20.15
237,Tezu,IN,2020-11-28 18:15:36,27.92,96.17,64.11,46,1,3.47
238,Hualmay,PE,2020-11-28 18:15:36,-11.1,-77.61,72.7,61,37,11.34
239,Cidreira,BR,2020-11-28 18:15:36,-30.18,-50.21,76.62,78,77,18.3
240,Luderitz,NA,2020-11-28 18:15:32,-26.65,15.16,73.4,53,0,23.04
241,Ostrovnoy,RU,2020-11-28 18:15:36,68.05,39.51,29.91,95,86,26.78
242,Quatre Cocos,MU,2020-11-28 18:15:36,-20.21,57.76,75.2,73,40,6.93
243,Katesh,TZ,2020-11-28 18:15:37,-4.52,35.38,65.64,72,9,5.03
244,Letnica,PL,2020-11-28 18:15:37,51.9,15.33,36.0,45,87,3.65
245,Wonthaggi,AU,2020-11-28 18:13:06,-38.6,145.59,62.01,94,97,1.01
246,Ulladulla,AU,2020-11-28 18:15:37,-35.35,150.47,84.2,39,100,13.87
247,Kamareddi,IN,2020-11-28 18:15:37,18.32,78.35,65.61,84,14,4.43
248,Meulaboh,ID,2020-11-28 18:15:37,4.14,96.13,75.69,86,97,3.65
249,Homer,US,2020-11-28 18:15:37,59.64,-151.55,39.0,83,40,3.36
250,Chapais,CA,2020-11-28 18:15:37,49.78,-74.85,28.4,92,90,8.05
251,Los Banos,PH,2020-11-28 18:15:37,14.17,121.18,78.8,88,75,5.82
252,Mazatlan,MX,2020-11-28 18:15:29,23.22,-106.42,80.6,57,40,11.65
253,Komsomolskiy,UZ,2020-11-28 18:15:38,40.43,71.72,33.8,86,11,1.43
254,Alyangula,AU,2020-11-28 18:15:38,-13.85,136.42,77.0,100,18,4.54
255,Turukhansk,RU,2020-11-28 18:15:38,65.82,87.98,-2.36,93,100,6.46
256,Tsiroanomandidy,MG,2020-11-28 18:15:38,-18.77,46.03,78.82,62,42,3.89
257,Makakilo City,US,2020-11-28 18:14:39,21.35,-158.09,71.6,73,1,3.36
258,Maksatikha,RU,2020-11-28 18:15:39,57.8,35.88,27.41,98,93,7.49
259,Lompoc,US,2020-11-28 18:11:27,34.64,-120.46,53.6,42,1,5.82
260,Puerto Escondido,MX,2020-11-28 18:15:39,15.85,-97.07,86.0,70,20,8.05
261,Manokwari,ID,2020-11-28 18:15:39,-0.87,134.08,80.94,77,98,7.34
262,Gat,IL,2020-11-28 18:12:03,31.61,34.76,62.6,77,40,4.7
263,Maragogi,BR,2020-11-28 18:15:39,-9.01,-35.22,81.0,66,47,11.97
264,Presidencia Roque Saenz Pena,AR,2020-11-28 18:15:39,-26.79,-60.44,98.01,41,42,1.99
265,Loikaw,MM,2020-11-28 18:15:39,19.67,97.21,62.13,83,14,2.57
266,Opuwo,NA,2020-11-28 18:15:39,-18.06,13.84,75.74,42,84,1.97
267,Jacareacanga,BR,2020-11-28 18:15:40,-6.22,-57.75,90.75,50,57,5.01
268,Belyy,RU,2020-11-28 18:15:40,55.84,32.94,30.54,97,66,5.14
269,Pavlovsk,RU,2020-11-28 18:15:40,50.46,40.11,37.54,86,100,12.37
270,Beyneu,KZ,2020-11-28 18:15:40,45.32,55.2,30.61,90,0,11.86
271,Mayya,RU,2020-11-28 18:15:40,61.73,130.28,-25.6,74,0,2.28
272,Almaznyy,RU,2020-11-28 18:15:41,48.04,40.05,35.6,93,40,17.9
273,Praia,CV,2020-11-28 18:15:41,14.92,-23.51,77.0,65,75,13.87
274,Wahpeton,US,2020-11-28 18:15:41,46.27,-96.61,44.01,65,1,8.05
275,Buri,BR,2020-11-28 18:15:41,-23.8,-48.59,86.32,49,85,2.33
276,Rehoboth,NA,2020-11-28 18:15:41,-23.32,17.08,77.67,24,58,5.79
277,Guarapari,BR,2020-11-28 18:10:44,-20.67,-40.5,80.6,69,40,13.87
278,Wanning,CN,2020-11-28 18:15:41,18.8,110.4,70.34,80,99,17.67
279,Merauke,ID,2020-11-28 18:15:41,-8.47,140.33,79.32,79,100,6.87
280,Yumen,CN,2020-11-28 18:15:42,40.28,97.2,19.2,81,73,7.87
281,Kahului,US,2020-11-28 18:12:23,20.89,-156.47,71.6,83,40,5.82
282,Santa Rosa,PH,2020-11-28 18:15:42,14.31,121.11,78.8,88,75,5.82
283,Ulaangom,MN,2020-11-28 18:15:42,49.98,92.07,9.03,88,91,4.34
284,Oussouye,SN,2020-11-28 18:15:43,12.48,-16.55,91.4,41,0,6.93
285,Sisimiut,GL,2020-11-28 18:15:43,66.94,-53.67,18.99,86,82,12.55
286,Traverse City,US,2020-11-28 18:14:13,44.76,-85.62,48.99,52,20,19.46
287,Zyryanskoye,RU,2020-11-28 18:15:43,56.83,86.63,9.27,94,0,7.96
288,Paidha,UG,2020-11-28 18:15:43,2.42,30.99,63.32,94,75,3.36
289,Rocha,UY,2020-11-28 18:15:43,-34.48,-54.33,80.31,65,85,12.93
290,Rawatsar,IN,2020-11-28 18:15:43,29.28,74.38,59.76,31,34,1.63
291,Zaysan,KZ,2020-11-28 18:15:44,47.47,84.87,25.36,96,100,1.34
292,Progreso,MX,2020-11-28 18:15:44,21.28,-89.67,86.0,66,40,9.17
293,Contamana,PE,2020-11-28 18:15:44,-7.33,-75.02,82.76,68,97,3.15
294,Martaban,MM,2020-11-28 18:15:44,16.53,97.61,74.75,73,43,6.4
295,San Patricio,US,2020-11-28 18:15:44,28.02,-97.52,68.0,94,90,21.92
296,Conde,BR,2020-11-28 18:14:33,-7.26,-34.91,86.0,58,20,18.34
297,Ust-Nera,RU,2020-11-28 18:15:44,64.57,143.2,-12.21,81,59,3.56
298,Flinders,AU,2020-11-28 18:15:45,-34.58,150.86,84.2,39,100,13.87
299,Shihezi,CN,2020-11-28 18:15:45,44.3,86.03,32.29,92,97,8.28
300,North Bend,US,2020-11-28 18:15:45,43.41,-124.22,39.2,93,75,9.17
301,Ibarra,EC,2020-11-28 18:15:45,0.35,-78.12,71.6,43,40,4.7
302,Alappuzha,IN,2020-11-28 18:15:45,9.49,76.33,79.34,81,15,6.53
303,Saint-Pierre,RE,2020-11-28 18:15:45,-21.34,55.48,75.2,64,75,2.24
304,Adrar,MR,2020-11-28 18:15:45,20.5,-10.07,68.74,28,59,7.0
305,Karlskrona,SE,2020-11-28 18:15:34,56.16,15.59,33.8,100,81,6.93
306,Pangai,TO,2020-11-28 18:15:46,-19.8,-174.35,76.35,90,99,20.69
307,Hobyo,SO,2020-11-28 18:15:46,5.35,48.53,80.33,75,67,16.53
